,categoria,precio_promedio,fecha
171,luz,71.42,2021-04-01
172,luz,73.89,2021-05-01
173,luz,87.11,2021-06-01
174,luz,96.29,2021-07-01
175,luz,111.29,2021-08-01
176,luz,160.48,2021-09-01
177,luz,209.09,2021-10-01
178,luz,203.70,2021-11-01
179,luz,251.53,2021-12-01
180,luz,209.76,2022-01-01
181,luz,205.54,2022-02-01
182,luz,294.19,2022-03-01
183,luz,202.73,2022-04-01
184,luz,195.46,2022-05-01
185,luz,175.34,2022-06-01
186,luz,149.38,2022-07-01
187,luz,161.76,2022-08-01
188,luz,151.34,2022-09-01
189,luz,138.66,2022-10-01
190,luz,124.53,2022-11-01
191,luz,113.80,2022-12-01
